index,code,country_code,total_pop,destination,destination_code,origin,origin_code,total_mig,life,gni,major1,major1_perc,major2,major2_perc,remit
110,356,IND,1450935791,World,900,India,356,18533845,72.003,9046.756336,Hindus,0.793657583664856,,,137674533895
11658,356,IND,1450935791,India,356,World,900,4796255,72.003,9046.756336,Hindus,0.793657583664856,,,137674533895
98,156,CHN,1408975000,World,900,China,156,11701619,77.953,22029.22253,Unaffiliated,0.896228201190652,,,31410598200
10862,156,CHN,1408975000,China,156,World,900,1638718,77.953,22029.22253,Unaffiliated,0.896228201190652,,,31410598200
257,840,USA,340110988,World,900,United States of America,840,3186999,79.304,73650.03077,Christians,0.640083667216592,Unaffiliated,0.297283761489512,8712000000
26061,840,USA,340110988,United States of America,840,World,900,52375047,79.304,73650.03077,Christians,0.640083667216592,Unaffiliated,0.297283761489512,8712000000
119,360,IDN,283487931,World,900,Indonesia,360,3745148,71.146,13700.12989,Muslims,0.869655398275172,,,16038366972
12172,360,IDN,283487931,Indonesia,360,World,900,445726,71.146,13700.12989,Muslims,0.869655398275172,,,16038366972
114,586,PAK,251269164,World,900,Pakistan,586,6915057,67.649,5501.132932,Muslims,0.965446808510639,,,
11853,586,PAK,251269164,Pakistan,586,World,900,4175958,67.649,5501.132932,Muslims,0.965446808510639,,,
85,566,NGA,232679478,World,900,Nigeria,566,2094265,54.462,5569.374975,Muslims,0.560654205607477,Christians,0.433504672897196,21292957333
9906,566,NGA,232679478,Nigeria,566,World,900,1403281,54.462,5569.374975,Muslims,0.560654205607477,Christians,0.433504672897196,21292957333
240,76,BRA,211998573,World,900,Brazil,76,2194325,75.848,18011.28546,Christians,0.806575289945366,,,4902400448
24588,76,BRA,211998573,Brazil,76,World,900,1406299,75.848,18011.28546,Christians,0.806575289945366,,,4902400448
108,50,BGD,173562364,World,900,Bangladesh,50,8706947,74.672,8497.658639,Muslims,0.910643415514131,,,27596525229
11555,50,BGD,173562364,Bangladesh,50,World,900,2906338,74.672,8497.658639,Muslims,0.910643415514131,,,27596525229
156,643,RUS,143533851,World,900,Russian Federation,643,9134094,73.154,39221.68359,Christians,0.69925531188085,Unaffiliated,0.201953952312632,1907830000
15286,643,RUS,143533851,Russian Federation,643,World,900,7605774,73.154,39221.68359,Christians,0.69925531188085,Unaffiliated,0.201953952312632,1907830000
32,231,ETH,132059767,World,900,Ethiopia,231,1240645,67.315,2795.506984,Christians,0.615792129162462,Muslims,0.36242852337706,490000000
6567,231,ETH,132059767,Ethiopia,231,World,900,1168455,67.315,2795.506984,Christians,0.615792129162462,Muslims,0.36242852337706,490000000
234,484,MEX,130861007,World,900,Mexico,484,11596529,75.069,21812.65566,Christians,0.891719242902208,,,
23636,484,MEX,130861007,Mexico,484,World,900,1726089,75.069,21812.65566,Christians,0.891719242902208,,,
103,392,JPN,123975371,World,900,Japan,392,1008173,84.712,47774.60973,Unaffiliated,0.57458432304038,Buddhists,0.372050673000792,4644199355
11197,392,JPN,123975371,Japan,392,World,900,3409529,84.712,47774.60973,Unaffiliated,0.57458432304038,Buddhists,0.372050673000792,4644199355
60,818,EGY,116538258,World,900,Egypt,818,4820002,71.633,16218.13521,Muslims,0.951701427003293,,,
7888,818,EGY,116538258,Egypt,818,World,900,1139820,71.633,16218.13521,Muslims,0.951701427003293,,,
123,608,PHL,115843670,World,900,Philippines,608,6988383,69.833,10731.20422,Christians,0.914614561027837,,,
12344,608,PHL,115843670,Philippines,608,World,900,87212,69.833,10731.20422,Christians,0.914614561027837,,,
54,180,COD,109276265,World,900,Democratic Republic of the Congo,180,2097387,61.895,1431.047931,Christians,0.962600270861548,,,2000736160
7540,180,COD,109276265,Democratic Republic of the Congo,180,World,900,1085090,61.895,1431.047931,Christians,0.962600270861548,,,2000736160
127,704,VNM,100987686,World,900,Viet Nam,704,3693537,74.588,13032.63533,Unaffiliated,0.676692495921697,Buddhists,0.230220228384992,16000000000
12500,704,VNM,100987686,Viet Nam,704,World,900,326418,74.588,13032.63533,Unaffiliated,0.676692495921697,Buddhists,0.230220228384992,16000000000
111,364,IRN,91567738,World,900,Iran (Islamic Republic of),364,1733468,77.654,16095.77169,Muslims,0.997720018239854,,,
11746,364,IRN,91567738,Iran (Islamic Republic of),364,World,900,3840654,77.654,16095.77169,Muslims,0.997720018239854,,,
144,792,TUR,85518661,World,900,Turkey,792,3130337,77.156,34506.98065,Muslims,0.971076780113834,,,
13661,792,TUR,85518661,Turkey,792,World,900,7083501,77.156,34506.98065,Muslims,0.971076780113834,,,
194,276,DEU,83516593,World,900,Germany,276,4297233,81.378,64053.22124,Christians,0.562358005500419,Unaffiliated,0.361473155566184,21225006283
20225,276,DEU,83516593,Germany,276,World,900,16750084,81.378,64053.22124,Christians,0.562358005500419,Unaffiliated,0.361473155566184,21225006283
125,764,THA,71668011,World,900,Thailand,764,1178757,76.412,20569.90176,Buddhists,0.943886097152429,,,
12414,764,THA,71668011,Thailand,764,World,900,3179399,76.412,20569.90176,Buddhists,0.943886097152429,,,
172,826,GBR,69226000,World,900,United Kingdom,826,4804944,81.302,54371.58634,Christians,0.493689680772086,Unaffiliated,0.402227171492205,4834332874
17813,826,GBR,69226000,United Kingdom,826,World,900,11845479,81.302,54371.58634,Christians,0.493689680772086,Unaffiliated,0.402227171492205,4834332874
45,834,TZA,68560157,World,900,United Republic of Tanzania,834,225017,66.995,3514.632861,Christians,0.646875512547154,Muslims,0.298671477775955,1123259919
7040,834,TZA,68560157,United Republic of Tanzania,834,World,900,462371,66.995,3514.632861,Christians,0.646875512547154,Muslims,0.298671477775955,1123259919
193,250,FRA,68551653,World,900,France,250,2547158,83.325,55060.16038,Christians,0.464572902442725,Unaffiliated,0.426490669094219,38775361344
20130,250,FRA,68551653,France,250,World,900,9186757,83.325,55060.16038,Christians,0.464572902442725,Unaffiliated,0.426490669094219,38775361344
71,710,ZAF,64007187,World,900,South Africa,710,1005800,66.139,13693.98858,Christians,0.852542932628798,,,
8767,710,ZAF,64007187,South Africa,710,World,900,2631100,66.139,13693.98858,Christians,0.852542932628798,,,
181,380,ITA,58952704,World,900,Italy,380,2941444,83.716,52388.88306,Christians,0.804707060590886,,,
18668,380,ITA,58952704,Italy,380,World,900,6553671,83.716,52388.88306,Christians,0.804707060590886,,,
33,404,KEN,56432944,World,900,Kenya,404,540466,63.646,5608.296066,Christians,0.85656836461126,,,
6603,404,KEN,56432944,Kenya,404,World,900,992536,63.646,5608.296066,Christians,0.85656836461126,,,
122,104,MMR,54500091,World,900,Myanmar,104,4320462,66.889,4918.810577,Buddhists,0.890418709920785,,,1150000000
12323,104,MMR,54500091,Myanmar,104,World,900,79052,66.889,4918.810577,Buddhists,0.890418709920785,,,1150000000
242,170,COL,52886363,World,900,Colombia,170,3652238,77.725,18665.94967,Christians,0.862532095595497,,,11873232976
24889,170,COL,52886363,Colombia,170,World,900,3063518,77.725,18665.94967,Christians,0.862532095595497,,,11873232976
105,410,KOR,51751065,World,900,Republic of Korea,410,2030473,84.329,49726.45327,Unaffiliated,0.48264558426533,Christians,0.319899730042422,7449400000
11371,410,KOR,51751065,Republic of Korea,410,World,900,1811507,84.329,49726.45327,Unaffiliated,0.48264558426533,Christians,0.319899730042422,7449400000
63,729,SDN,50448963,World,900,Sudan,729,3786603,66.331,2810.312012,Muslims,0.988459072451379,,,
8185,729,SDN,50448963,Sudan,729,World,900,2397113,66.331,2810.312012,Muslims,0.988459072451379,,,
44,800,UGA,50015092,World,900,Uganda,800,578034,68.252,2736.410021,Christians,0.877417903733693,,,
6998,800,UGA,50015092,Uganda,800,World,900,2057759,68.252,2736.410021,Christians,0.877417903733693,,,
