code,country_code,EUROSTAT,2020,2021,2022,2023
804,UKR,Ukrajina,929,739,10519,12364
70,BIH,Bosna i Hercegovina,10220,9263,9714,9898
524,NPL,Nepal,597,1766,4464,5791
688,SRB,Srbija,4278,3369,4204,5075
356,IND,Indija,332,805,2774,4153
608,PHL,Filipini,405,799,2335,3362
383,KOS,Kosovo,2524,1928,2346,2414
807,MKD,Sjeverna Makedonija,1184,1160,1742,2290
276,DEU,Njemačka,1227,1751,2178,1892
50,BGD,Bangladeš,171,249,764,1601
860,UZB,Uzbekistan,73,178,759,1577
792,TUR,Turska,199,611,1067,1412
818,EGY,Egipat,16,47,419,1407
8,ALB,Albanija,1089,1016,1133,1207
643,RUS,Rusija,228,201,983,1204
705,SVN,Slovenija,1326,894,747,819
380,ITA,Italija,381,438,565,449
40,AUT,Austrija,222,348,362,313
499,MNE,Crna Gora,261,280,271,292
840,USA,Sjedinjene Američke Države,247,288,299,271
616,POL,Poljska,101,309,315,240
250,FRA,Francuska,119,323,283,211
764,THA,Tajland,33,37,156,206
156,CHN,Kina,313,163,111,186
762,TJK,Tadžikistan,1,47,47,182
31,AZE,Azerbajdžan,15,21,36,173
76,BRA,Brazil,74,102,173,167
703,SVK,Slovačka,84,168,143,144
826,GBR,Ujedinjeno Kraljevstvo,248,206,172,141
348,HUN,Mađarska,98,97,131,140
756,CHE,Švicarska,129,155,180,132
203,CZE,Češka,134,169,150,130
32,ARG,Argentina,46,65,99,128
268,GEO,Gruzija,21,26,73,122
398,KAZ,Kazahstan,21,35,105,121
36,AUS,Australija,44,97,197,120
528,NLD,Nizozemska,64,96,107,119
124,CAN,Kanada,66,152,170,114
642,ROU,Rumunjska,61,92,158,111
498,MDA,Moldavija,34,28,96,104
724,ESP,Španjolska,46,173,137,100
170,COL,Kolumbija,21,50,35,88
417,KGZ,Kirgistan,10,48,103,85
112,BLR,Bjelorusija,18,26,67,84
144,LKA,Šri Lanka,4,6,35,82
704,VNM,Vijetnam,10,11,23,75
752,SWE,Švedska,51,58,84,73
100,BGR,Bugarska,34,40,64,67
586,PAK,Pakistan,19,24,76,65
152,CHL,Čile,20,31,39,59
376,ISR,Izrael,44,44,42,57
788,TUN,Tunis,8,14,42,53
710,ZAF,Južnoafrička Republika,41,74,66,52
372,IRL,Irska,26,34,73,50
360,IDN,Indonezija,12,9,23,48
484,MEX,Meksiko,29,15,29,43
364,IRN,Iran,21,28,31,42
604,PER,Peru,21,34,38,39
760,SYR,Sirija,19,21,33,37
56,BEL,Belgija,19,62,49,36
566,NGA,Nigerija,29,15,31,33
862,VEN,Venezuela,19,21,26,32
504,MAR,Maroko,12,15,27,32
620,PRT,Portugal,17,64,57,31
208,DNK,Danska,16,14,13,30
578,NOR,Norveška,15,36,29,27
440,LTU,Litva,9,22,42,27
428,LVA,Latvija,12,25,19,25
410,KOR,Južna Koreja,24,14,16,24
288,GHA,Gana,7,1,13,24
554,NZL,Novi Zeland,11,12,17,21
300,GRC,Grčka,66,70,35,21
68,BOL,Bolivija,6,8,8,17
795,TKM,Turkmenistan,3,1,11,17
392,JPN,Japan,11,21,15,17
246,FIN,Finska,6,7,25,17
192,CUB,Kuba,5,5,13,16
12,DZA,Alžir,6,5,20,15
275,PSE,Palestina,2,3,4,14
404,KEN,Kenija,4,9,8,14
400,JOR,Jordan,15,12,12,14
233,EST,Estonija,6,5,10,14
120,CMR,Kamerun,7,5,2,14
422,LBN,Libanon,14,13,7,13
858,URY,Urugvaj,2,4,12,12
51,ARM,Armenija,3,6,17,11
800,UGA,Uganda,5,4,3,10
442,LUX,Luksemburg,2,3,10,10
368,IRQ,Irak,7,11,7,10
